Walk #0:
Target Distance: 50, Step Size: 2
1480: (x, y) = (-0.293727, -32.9904)
1481: (x, y) = (-1.25869, -33.2528)
1482: (x, y) = (-1.13069, -34.2445)
1483: (x, y) = (-1.28491, -35.2326)
1484: (x, y) = (-1.29819, -34.2327)
1485: (x, y) = (-1.12647, -35.2178)
1486: (x, y) = (-1.02489, -34.223)
1487: (x, y) = (-0.657567, -35.1531)
1488: (x, y) = (-1.50141, -35.6897)
1489: (x, y) = (-0.931655, -36.5115)
1490: (x, y) = (-1.3478, -35.6022)
1491: (x, y) = (-0.931627, -36.5115)
1492: (x, y) = (0.0180502, -36.1982)
1493: (x, y) = (-0.959477, -36.4091)
1494: (x, y) = (-1.63296, -37.1483)
1495: (x, y) = (-0.639571, -37.263)
1496: (x, y) = (-0.714707, -38.2602)
1497: (x, y) = (0.0154662, -37.577)
1498: (x, y) = (0.85932, -38.1135)
1499: (x, y) = (0.94328, -37.1171)
1500: (x, y) = (1.94328, -37.1171)
1501: (x, y) = (1.16105, -36.4941)
1502: (x, y) = (0.312478, -35.965)
1503: (x, y) = (1.25936, -36.2866)
1504: (x, y) = (0.646808, -37.077)
1505: (x, y) = (-0.322644, -37.3223)
1506: (x, y) = (-0.12486, -36.3421)
1507: (x, y) = (-0.657693, -37.1883)
1508: (x, y) = (-0.591386, -36.1905)
1509: (x, y) = (-1.43522, -36.7271)
1510: (x, y) = (-1.22874, -37.7055)
1511: (x, y) = (-0.529491, -38.4204)
1512: (x, y) = (0.258224, -39.0364)
1513: (x, y) = (1.2079, -38.7232)
1514: (x, y) = (1.79211, -39.5348)
1515: (x, y) = (2.7896, -39.4641)
1516: (x, y) = (3.40912, -38.6791)
1517: (x, y) = (2.90658, -39.5436)
1518: (x, y) = (2.77862, -40.5354)
1519: (x, y) = (3.58764, -41.1232)
1520: (x, y) = (3.11602, -42.005)
1521: (x, y) = (4.09713, -42.1984)
1522: (x, y) = (3.51295, -43.01)
1523: (x, y) = (3.7453, -42.0374)
1524: (x, y) = (2.98562, -41.3871)
1525: (x, y) = (3.66562, -40.6539)
1526: (x, y) = (3.97461, -39.7029)
1527: (x, y) = (3.42688, -38.8662)
1528: (x, y) = (3.60728, -37.8826)
1529: (x, y) = (2.84189, -38.5262)
1530: (x, y) = (1.89789, -38.1962)
1531: (x, y) = (2.06961, -39.1813)
1532: (x, y) = (2.89894, -39.7401)
1533: (x, y) = (3.73803, -40.2841)
1534: (x, y) = (4.6957, -40.572)
1535: (x, y) = (5.5877, -40.12)
1536: (x, y) = (5.42471, -39.1333)
1537: (x, y) = (6.14267, -38.4372)
1538: (x, y) = (5.98845, -39.4253)
1539: (x, y) = (6.55088, -38.5984)
1540: (x, y) = (6.71384, -37.6118)
1541: (x, y) = (5.71447, -37.5764)
1542: (x, y) = (5.5777, -36.5858)
1543: (x, y) = (6.39701, -37.1592)
1544: (x, y) = (6.89188, -36.2902)
1545: (x, y) = (7.88937, -36.2195)
1546: (x, y) = (8.78138, -35.7674)
1547: (x, y) = (7.83738, -35.4375)
1548: (x, y) = (7.21094, -36.217)
1549: (x, y) = (6.26407, -36.5386)
1550: (x, y) = (7.21375, -36.2253)
1551: (x, y) = (7.53953, -35.2799)
1552: (x, y) = (8.38808, -34.7508)
1553: (x, y) = (7.40872, -34.5487)
1554: (x, y) = (6.64903, -33.8984)
1555: (x, y) = (5.69395, -33.602)
1556: (x, y) = (6.48707, -32.993)
1557: (x, y) = (6.62381, -32.0024)
1558: (x, y) = (6.36571, -32.9685)
1559: (x, y) = (5.90188, -32.0826)
1560: (x, y) = (6.08228, -31.099)
1561: (x, y) = (5.08326, -31.1432)
1562: (x, y) = (4.57305, -30.2832)
1563: (x, y) = (4.13294, -31.1811)
1564: (x, y) = (3.9178, -30.2045)
1565: (x, y) = (3.71135, -31.183)
1566: (x, y) = (4.70134, -31.0418)
1567: (x, y) = (5.41313, -31.7442)
1568: (x, y) = (5.67127, -32.7103)
1569: (x, y) = (5.61379, -33.7087)
1570: (x, y) = (5.9059, -32.7523)
1571: (x, y) = (6.40078, -31.8833)
1572: (x, y) = (5.43582, -32.1457)
1573: (x, y) = (6.08948, -32.9025)
1574: (x, y) = (7.03347, -32.5725)
1575: (x, y) = (6.9848, -31.5737)
1576: (x, y) = (6.20257, -30.9507)
1577: (x, y) = (6.13624, -29.9529)
1578: (x, y) = (6.2992, -28.9663)
1579: (x, y) = (5.59365, -28.2576)
1580: (x, y) = (5.03119, -27.4308)
1581: (x, y) = (4.61505, -26.5215)
1582: (x, y) = (5.61505, -26.5215)
1583: (x, y) = (4.81657, -27.1235)
1584: (x, y) = (5.39355, -26.3068)
1585: (x, y) = (6.37793, -26.4828)
1586: (x, y) = (6.37353, -27.4828)
1587: (x, y) = (5.5913, -26.8598)
1588: (x, y) = (4.61194, -26.6577)
1589: (x, y) = (4.31138, -27.6114)
1590: (x, y) = (3.57518, -28.2882)
1591: (x, y) = (4.4284, -28.8098)
1592: (x, y) = (4.42401, -29.8098)
1593: (x, y) = (5.19507, -29.173)
1594: (x, y) = (4.2007, -29.067)
1595: (x, y) = (3.80072, -29.9835)
1596: (x, y) = (4.09283, -29.0271)
1597: (x, y) = (4.08843, -30.0271)
1598: (x, y) = (3.68845, -30.9437)
1599: (x, y) = (2.68907, -30.9083)
1600: (x, y) = (3.56022, -31.3993)
1601: (x, y) = (3.55582, -32.3993)
1602: (x, y) = (3.47183, -31.4028)
1603: (x, y) = (3.43204, -32.402)
1604: (x, y) = (3.516, -31.4056)
1605: (x, y) = (3.24933, -30.4418)
1606: (x, y) = (2.72398, -29.5909)
1607: (x, y) = (3.70334, -29.3887)
1608: (x, y) = (2.99156, -30.0912)
1609: (x, y) = (3.15452, -29.1045)
1610: (x, y) = (4.14889, -28.9985)
1611: (x, y) = (5.13327, -29.1746)
1612: (x, y) = (4.75773, -28.2477)
1613: (x, y) = (3.82284, -28.6027)
1614: (x, y) = (3.50544, -29.551)
1615: (x, y) = (3.08129, -30.4566)
1616: (x, y) = (3.86901, -31.0726)
1617: (x, y) = (2.88622, -30.8879)
1618: (x, y) = (2.08774, -31.4899)
1619: (x, y) = (1.4544, -30.716)
1620: (x, y) = (0.800756, -31.4728)
1621: (x, y) = (-0.0383158, -32.0168)
1622: (x, y) = (-0.571149, -32.8631)
1623: (x, y) = (-1.38535, -32.2825)
1624: (x, y) = (-1.33671, -31.2836)
1625: (x, y) = (-0.457011, -31.7592)
1626: (x, y) = (-0.259227, -30.7789)
1627: (x, y) = (-0.989421, -30.0957)
1628: (x, y) = (-0.419671, -30.9175)
1629: (x, y) = (-1.4165, -30.9971)
1630: (x, y) = (-1.14986, -30.0333)
1631: (x, y) = (-1.97917, -30.5921)
1632: (x, y) = (-2.01896, -31.5913)
1633: (x, y) = (-2.6659, -30.8287)
1634: (x, y) = (-1.69644, -31.074)
1635: (x, y) = (-2.48958, -30.465)
1636: (x, y) = (-3.36071, -30.956)
1637: (x, y) = (-3.08552, -31.9174)
1638: (x, y) = (-4.01398, -32.2888)
1639: (x, y) = (-4.57643, -31.462)
1640: (x, y) = (-3.81676, -30.8117)
1641: (x, y) = (-3.14326, -31.5509)
1642: (x, y) = (-2.30903, -30.9994)
1643: (x, y) = (-3.25872, -30.6862)
1644: (x, y) = (-2.26122, -30.6155)
1645: (x, y) = (-1.90218, -29.6822)
1646: (x, y) = (-2.87163, -29.9274)
1647: (x, y) = (-1.90439, -29.6736)
1648: (x, y) = (-0.914401, -29.5324)
1649: (x, y) = (0.0852469, -29.559)
1650: (x, y) = (-0.378582, -28.673)
1651: (x, y) = (0.191168, -29.4949)
1652: (x, y) = (1.02539, -28.9434)
1653: (x, y) = (0.201043, -28.3773)
1654: (x, y) = (1.16364, -28.1064)
1655: (x, y) = (2.07838, -28.5104)
1656: (x, y) = (1.0956, -28.3257)
1657: (x, y) = (0.114493, -28.5192)
1658: (x, y) = (0.838611, -29.2088)
1659: (x, y) = (1.01901, -28.2253)
1660: (x, y) = (0.627127, -27.3052)
1661: (x, y) = (0.0867988, -26.4638)
1662: (x, y) = (0.534846, -25.5698)
1663: (x, y) = (0.852274, -26.5181)
1664: (x, y) = (0.543251, -25.567)
1665: (x, y) = (1.43924, -26.0111)
1666: (x, y) = (1.83925, -26.9276)
1667: (x, y) = (2.06302, -27.9022)
1668: (x, y) = (2.84523, -27.2792)
1669: (x, y) = (3.26941, -28.1848)
1670: (x, y) = (4.17312, -28.613)
1671: (x, y) = (3.51282, -29.364)
1672: (x, y) = (4.00001, -30.2373)
1673: (x, y) = (3.60812, -29.3173)
1674: (x, y) = (4.60562, -29.2465)
1675: (x, y) = (3.72593, -29.722)
1676: (x, y) = (4.31727, -28.9156)
1677: (x, y) = (4.52376, -29.8941)
1678: (x, y) = (3.89731, -30.6735)
1679: (x, y) = (4.55763, -31.4245)
1680: (x, y) = (5.55446, -31.5041)
1681: (x, y) = (6.06464, -30.644)
1682: (x, y) = (6.67721, -31.4344)
1683: (x, y) = (6.24503, -30.5326)
1684: (x, y) = (6.63689, -29.6126)
1685: (x, y) = (6.0527, -30.4242)
1686: (x, y) = (6.45272, -31.3407)
1687: (x, y) = (6.43062, -32.3405)
1688: (x, y) = (6.73961, -31.3894)
1689: (x, y) = (7.13147, -30.4694)
1690: (x, y) = (6.8819, -29.5011)
1691: (x, y) = (6.76269, -28.5082)
1692: (x, y) = (7.08012, -29.4565)
1693: (x, y) = (6.09574, -29.6325)
1694: (x, y) = (5.174, -30.0204)
1695: (x, y) = (6.15154, -30.2311)
1696: (x, y) = (5.18893, -29.9602)
1697: (x, y) = (4.26047, -30.3317)
1698: (x, y) = (4.50146, -31.3022)
1699: (x, y) = (4.08531, -30.3929)
1700: (x, y) = (3.40529, -29.6597)
1701: (x, y) = (4.01082, -28.8639)
1702: (x, y) = (3.55488, -29.7539)
1703: (x, y) = (4.0802, -28.903)
1704: (x, y) = (4.97618, -29.3471)
1705: (x, y) = (5.39236, -30.2564)
1706: (x, y) = (4.85952, -31.1026)
1707: (x, y) = (4.39569, -30.2166)
1708: (x, y) = (5.16111, -30.8602)
1709: (x, y) = (6.11353, -31.165)
1710: (x, y) = (6.456, -30.2254)
1711: (x, y) = (5.53426, -30.6132)
1712: (x, y) = (6.42626, -30.1612)
1713: (x, y) = (6.72685, -31.115)
1714: (x, y) = (7.7265, -31.1415)
1715: (x, y) = (7.65137, -32.1387)
1716: (x, y) = (7.22722, -33.0443)
1717: (x, y) = (6.87645, -33.9807)
1718: (x, y) = (5.87649, -33.9896)
1719: (x, y) = (6.85013, -34.2176)
1720: (x, y) = (6.22369, -34.9971)
1721: (x, y) = (7.01681, -34.388)
1722: (x, y) = (6.04736, -34.6333)
1723: (x, y) = (7.04595, -34.5802)
1724: (x, y) = (6.07435, -34.3436)
1725: (x, y) = (6.79847, -35.0332)
1726: (x, y) = (5.80727, -35.1656)
1727: (x, y) = (5.4482, -34.2323)
1728: (x, y) = (5.20724, -35.2028)
1729: (x, y) = (6.14828, -35.5411)
1730: (x, y) = (6.9414, -34.9321)
1731: (x, y) = (7.35757, -35.8414)
1732: (x, y) = (7.2208, -34.8508)
1733: (x, y) = (6.27681, -34.5208)
1734: (x, y) = (5.3142, -34.2499)
1735: (x, y) = (4.41823, -34.694)
1736: (x, y) = (3.51835, -34.2579)
1737: (x, y) = (2.84487, -34.9971)
1738: (x, y) = (2.26787, -34.1803)
1739: (x, y) = (1.54988, -33.4843)
1740: (x, y) = (2.5255, -33.2648)
1741: (x, y) = (1.76582, -32.6145)
1742: (x, y) = (2.6618, -33.0586)
1743: (x, y) = (1.74352, -32.6627)
1744: (x, y) = (2.51458, -32.0259)
1745: (x, y) = (1.53347, -32.2194)
1746: (x, y) = (2.53347, -32.2194)
1747: (x, y) = (3.28155, -32.883)
1748: (x, y) = (4.24652, -33.1454)
1749: (x, y) = (5.2446, -33.2073)
1750: (x, y) = (5.5954, -34.1437)
1751: (x, y) = (6.10557, -33.2837)
1752: (x, y) = (5.13832, -33.0298)
1753: (x, y) = (5.78524, -32.2673)
1754: (x, y) = (6.04337, -33.2334)
1755: (x, y) = (6.14496, -32.2386)
1756: (x, y) = (6.79188, -31.476)
1757: (x, y) = (5.88442, -31.0559)
1758: (x, y) = (4.91946, -31.3183)
1759: (x, y) = (5.47457, -32.15)
1760: (x, y) = (6.27835, -31.5551)
1761: (x, y) = (5.55425, -32.2448)
1762: (x, y) = (5.66467, -33.2387)
1763: (x, y) = (6.66216, -33.1679)
1764: (x, y) = (7.51995, -32.6539)
1765: (x, y) = (8.3954, -32.1706)
1766: (x, y) = (7.62431, -31.5339)
1767: (x, y) = (7.09897, -30.683)
1768: (x, y) = (6.11618, -30.4982)
1769: (x, y) = (6.85834, -29.828)
1770: (x, y) = (5.86397, -29.722)
1771: (x, y) = (6.50414, -30.4903)
1772: (x, y) = (7.44213, -30.1436)
1773: (x, y) = (8.28122, -30.6876)
1774: (x, y) = (9.28106, -30.6699)
1775: (x, y) = (9.61523, -31.6124)
1776: (x, y) = (10.5754, -31.8918)
1777: (x, y) = (11.4634, -32.3517)
1778: (x, y) = (10.7769, -33.0789)
1779: (x, y) = (10.1574, -32.2939)
1780: (x, y) = (10.7051, -31.4572)
1781: (x, y) = (11.0641, -30.5239)
1782: (x, y) = (11.7943, -29.8407)
1783: (x, y) = (10.807, -29.9993)
1784: (x, y) = (11.0134, -30.9777)
1785: (x, y) = (12.0034, -31.1188)
1786: (x, y) = (11.6115, -30.1988)
1787: (x, y) = (12.5717, -30.4782)
1788: (x, y) = (12.9554, -31.4017)
1789: (x, y) = (13.9553, -31.384)
1790: (x, y) = (14.7796, -30.8179)
1791: (x, y) = (13.8722, -30.3977)
1792: (x, y) = (14.4199, -29.561)
1793: (x, y) = (14.6176, -28.5808)
1794: (x, y) = (13.6277, -28.4397)
1795: (x, y) = (14.4715, -28.9763)
1796: (x, y) = (13.5164, -28.6799)
1797: (x, y) = (12.5847, -28.3167)
1798: (x, y) = (11.9378, -27.5542)
1799: (x, y) = (11.2513, -28.2814)
1800: (x, y) = (11.9049, -27.5245)
1801: (x, y) = (12.8893, -27.7006)
1802: (x, y) = (13.7604, -28.1916)
1803: (x, y) = (13.0487, -28.894)
1804: (x, y) = (13.3577, -27.943)
1805: (x, y) = (13.6158, -28.9091)
1806: (x, y) = (13.0461, -29.7309)
1807: (x, y) = (13.8754, -30.2897)
1808: (x, y) = (14.8071, -29.9265)
1809: (x, y) = (15.0049, -28.9462)
1810: (x, y) = (15.6451, -29.7145)
1811: (x, y) = (16.5861, -30.0528)
1812: (x, y) = (17.4615, -29.5694)
1813: (x, y) = (16.4615, -29.5695)
1814: (x, y) = (16.0943, -30.4996)
1815: (x, y) = (17.0411, -30.8212)
1816: (x, y) = (17.5205, -29.9436)
1817: (x, y) = (16.7221, -30.5456)
1818: (x, y) = (15.7309, -30.678)
1819: (x, y) = (15.9113, -29.6944)
1820: (x, y) = (15.0869, -29.1283)
1821: (x, y) = (15.0029, -28.1318)
1822: (x, y) = (14.0745, -28.5033)
1823: (x, y) = (14.2199, -27.5139)
1824: (x, y) = (13.7798, -28.4119)
1825: (x, y) = (13.6256, -29.3999)
1826: (x, y) = (13.4191, -30.3783)
1827: (x, y) = (14.0456, -31.1578)
1828: (x, y) = (13.8565, -32.1398)
1829: (x, y) = (14.1146, -33.1059)
1830: (x, y) = (14.6095, -32.2369)
1831: (x, y) = (15.3213, -32.9393)
1832: (x, y) = (15.3434, -33.939)
1833: (x, y) = (16.0736, -33.2558)
1834: (x, y) = (16.5762, -34.1203)
1835: (x, y) = (17.3529, -34.7502)
1836: (x, y) = (18.0584, -34.0415)
1837: (x, y) = (18.5837, -33.1906)
1838: (x, y) = (18.4821, -32.1958)
1839: (x, y) = (17.6383, -32.7324)
1840: (x, y) = (17.2221, -31.8231)
1841: (x, y) = (17.9462, -32.5128)
1842: (x, y) = (17.0388, -32.0926)
1843: (x, y) = (17.6991, -32.8436)
1844: (x, y) = (17.3566, -31.9041)
1845: (x, y) = (17.4318, -32.9013)
1846: (x, y) = (17.392, -33.9005)
1847: (x, y) = (17.8241, -32.9987)
1848: (x, y) = (17.7667, -33.997)
1849: (x, y) = (17.1471, -33.2121)
1850: (x, y) = (16.5138, -32.4382)
1851: (x, y) = (15.7541, -31.7879)
1852: (x, y) = (16.6724, -31.3919)
1853: (x, y) = (17.5798, -30.9718)
1854: (x, y) = (18.5742, -30.8658)
1855: (x, y) = (19.574, -30.8481)
1856: (x, y) = (18.5742, -30.8304)
1857: (x, y) = (19.5059, -30.4672)
1858: (x, y) = (18.752, -29.8102)
1859: (x, y) = (19.7347, -29.6254)
1860: (x, y) = (19.6331, -28.6306)
1861: (x, y) = (18.6503, -28.4459)
1862: (x, y) = (18.3078, -27.5063)
1863: (x, y) = (17.361, -27.828)
1864: (x, y) = (18.3603, -27.7926)
1865: (x, y) = (17.6123, -28.4562)
1866: (x, y) = (16.8085, -27.8613)
1867: (x, y) = (15.8091, -27.8259)
1868: (x, y) = (16.5688, -27.1756)
1869: (x, y) = (16.1287, -28.0736)
1870: (x, y) = (17.0837, -27.7772)
1871: (x, y) = (16.9033, -26.7936)
1872: (x, y) = (17.2624, -25.8603)
1873: (x, y) = (17.1344, -26.8521)
1874: (x, y) = (17.7746, -27.6203)
1875: (x, y) = (17.1076, -26.8752)
1876: (x, y) = (16.2986, -27.463)
1877: (x, y) = (17.1866, -27.9229)
1878: (x, y) = (18.1819, -28.02)
1879: (x, y) = (18.6613, -27.1424)
1880: (x, y) = (19.4435, -26.5194)
1881: (x, y) = (20.4388, -26.6166)
1882: (x, y) = (21.1316, -25.8956)
1883: (x, y) = (22.1269, -25.9927)
1884: (x, y) = (21.8263, -26.9465)
1885: (x, y) = (21.3547, -27.8283)
1886: (x, y) = (21.2092, -26.8389)
1887: (x, y) = (20.2743, -27.1939)
1888: (x, y) = (19.4866, -27.8099)
1889: (x, y) = (20.1535, -27.0648)
1890: (x, y) = (21.0332, -27.5403)
1891: (x, y) = (20.2735, -26.89)
1892: (x, y) = (20.0069, -25.9263)
1893: (x, y) = (19.1401, -25.4275)
1894: (x, y) = (20.0549, -25.8316)
1895: (x, y) = (19.2206, -25.2802)
1896: (x, y) = (18.8206, -26.1967)
1897: (x, y) = (17.8826, -25.8501)
1898: (x, y) = (18.4451, -25.0232)
1899: (x, y) = (19.199, -24.3663)
1900: (x, y) = (18.8648, -25.3088)
1901: (x, y) = (18.5727, -24.3524)
1902: (x, y) = (17.7288, -24.889)
1903: (x, y) = (18.063, -25.8315)
1904: (x, y) = (17.3765, -26.5587)
1905: (x, y) = (16.4654, -26.1466)
1906: (x, y) = (17.4554, -26.0054)
1907: (x, y) = (16.5674, -26.4653)
1908: (x, y) = (17.3816, -25.8847)
1909: (x, y) = (16.4565, -25.5051)
1910: (x, y) = (17.3003, -26.0417)
1911: (x, y) = (17.1112, -27.0236)
1912: (x, y) = (16.1732, -26.677)
1913: (x, y) = (16.9154, -26.0068)
1914: (x, y) = (17.8228, -25.5866)
1915: (x, y) = (16.8417, -25.7801)
1916: (x, y) = (16.6875, -26.7681)
1917: (x, y) = (15.7526, -27.1231)
1918: (x, y) = (16.5965, -27.6596)
1919: (x, y) = (16.8288, -26.687)
1920: (x, y) = (15.9408, -27.1469)
1921: (x, y) = (16.9081, -26.893)
1922: (x, y) = (15.9584, -26.5798)
1923: (x, y) = (16.9457, -26.7384)
1924: (x, y) = (16.1747, -26.1017)
1925: (x, y) = (16.0819, -27.0974)
1926: (x, y) = (16.7152, -26.3235)
1927: (x, y) = (17.6501, -26.6784)
1928: (x, y) = (18.5124, -27.1848)
1929: (x, y) = (19.4593, -27.5064)
1930: (x, y) = (19.9922, -28.3526)
1931: (x, y) = (19.3588, -27.5787)
1932: (x, y) = (20.2806, -27.9665)
1933: (x, y) = (19.4821, -28.5685)
1934: (x, y) = (20.4774, -28.6657)
1935: (x, y) = (19.5662, -28.2536)
1936: (x, y) = (19.3425, -29.2282)
1937: (x, y) = (19.948, -28.4324)
1938: (x, y) = (20.3399, -27.5124)
1939: (x, y) = (21.251, -27.1002)
1940: (x, y) = (21.3085, -28.0986)
1941: (x, y) = (21.935, -28.878)
1942: (x, y) = (21.0132, -29.2658)
1943: (x, y) = (21.9481, -29.6207)
1944: (x, y) = (21.155, -29.0117)
1945: (x, y) = (20.8376, -29.96)
1946: (x, y) = (20.4376, -30.8765)
1947: (x, y) = (20.0621, -29.9497)
1948: (x, y) = (20.8498, -30.5657)
1949: (x, y) = (21.4762, -31.3452)
1950: (x, y) = (22.3682, -30.8932)
1951: (x, y) = (21.4033, -31.1556)
1952: (x, y) = (22.057, -31.9123)
1953: (x, y) = (21.161, -32.3565)
1954: (x, y) = (20.1751, -32.1891)
1955: (x, y) = (19.1761, -32.2334)
1956: (x, y) = (18.3418, -31.682)
1957: (x, y) = (17.4795, -32.1884)
1958: (x, y) = (16.6084, -32.6794)
1959: (x, y) = (15.9414, -31.9343)
1960: (x, y) = (16.5951, -31.1775)
1961: (x, y) = (16.2609, -32.12)
1962: (x, y) = (16.985, -32.8097)
1963: (x, y) = (17.8771, -32.3577)
1964: (x, y) = (17.7754, -31.3628)
1965: (x, y) = (18.7641, -31.213)
1966: (x, y) = (19.5063, -30.5427)
1967: (x, y) = (20.2602, -29.8857)
1968: (x, y) = (19.426, -29.3343)
1969: (x, y) = (19.9811, -30.1661)
1970: (x, y) = (19.7315, -29.1978)
1971: (x, y) = (20.5893, -28.6837)
1972: (x, y) = (19.929, -29.4348)
1973: (x, y) = (20.9101, -29.6282)
1974: (x, y) = (20.2976, -30.4186)
1975: (x, y) = (21.2888, -30.551)
1976: (x, y) = (21.0823, -31.5294)
1977: (x, y) = (22.0172, -31.8844)
1978: (x, y) = (22.1012, -30.8879)
1979: (x, y) = (22.6854, -31.6995)
1980: (x, y) = (21.9552, -31.0162)
1981: (x, y) = (20.9708, -31.1923)
1982: (x, y) = (21.1425, -32.1775)
1983: (x, y) = (20.1464, -32.0891)
1984: (x, y) = (20.2656, -31.0962)
1985: (x, y) = (19.5002, -31.7398)
1986: (x, y) = (20.4936, -31.8546)
1987: (x, y) = (21.4673, -32.0826)
1988: (x, y) = (20.9878, -31.205)
1989: (x, y) = (21.9347, -31.5266)
1990: (x, y) = (21.9568, -32.5264)
1991: (x, y) = (22.5119, -33.3582)
1992: (x, y) = (22.5518, -34.3574)
1993: (x, y) = (22.6885, -33.3668)
1994: (x, y) = (23.617, -33.7382)
1995: (x, y) = (23.8493, -32.7655)
1996: (x, y) = (24.626, -33.3954)
1997: (x, y) = (24.6216, -34.3954)
1998: (x, y) = (25.4093, -35.0115)
1999: (x, y) = (26.3013, -34.5594)
2000: (x, y) = (27.2947, -34.6742)
2001: (x, y) = (27.9747, -33.941)
2002: (x, y) = (27.1763, -34.543)
2003: (x, y) = (28.1761, -34.5253)
2004: (x, y) = (28.3999, -35.5)
2005: (x, y) = (27.7396, -36.251)
2006: (x, y) = (28.6063, -35.7522)
2007: (x, y) = (29.0063, -36.6688)
2008: (x, y) = (30.0054, -36.713)
2009: (x, y) = (31.0034, -36.7749)
2010: (x, y) = (30.8667, -35.7843)
2011: (x, y) = (31.7741, -35.3641)
2012: (x, y) = (32.5452, -34.7273)
2013: (x, y) = (31.6072, -34.3807)
2014: (x, y) = (32.4695, -34.8871)
2015: (x, y) = (32.527, -35.8854)
2016: (x, y) = (31.5554, -35.6488)
2017: (x, y) = (32.4393, -35.181)
2018: (x, y) = (32.7145, -36.1424)
2019: (x, y) = (32.9726, -37.1085)
2020: (x, y) = (31.9898, -36.9238)
2021: (x, y) = (32.6435, -37.6805)
2022: (x, y) = (33.5102, -37.1818)
After 2022 steps, the subject has the following location:
(x, y) = (33.5102, -37.1818)
 or
(m, a) = (50.0542, -2.63042)
Average outward distance per step = 0.0247548

